CreditScore,Age,Tenure,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Male,Female,NumOfProducts_1,NumOfProducts_2,NumOfProducts_3,NumOfProducts_4,France,Spain,Germany
619,42,2,0,1,1,101348.88,0,1,1,0,0,0,1,0,0
608,41,1,83807.86,0,1,112542.58,0,1,1,0,0,0,0,1,0
502,42,8,159660.8,1,0,113931.57,0,1,0,0,1,0,1,0,0
699,39,1,0,0,0,93826.63,0,1,0,1,0,0,1,0,0
850,43,2,125510.82,1,1,79084.1,0,1,1,0,0,0,0,1,0
645,44,8,113755.78,1,0,149756.71,1,0,0,1,0,0,0,1,0
822,50,7,0,1,1,10062.8,1,0,0,1,0,0,1,0,0
376,29,4,115046.74,1,0,119346.88,0,1,0,0,0,1,0,0,1
501,44,4,142051.07,0,1,74940.5,1,0,0,1,0,0,1,0,0
684,27,2,134603.88,1,1,71725.73,1,0,1,0,0,0,1,0,0
528,31,6,102016.72,0,0,80181.12,1,0,0,1,0,0,1,0,0
497,24,3,0,1,0,76390.01,1,0,0,1,0,0,0,1,0
476,34,10,0,1,0,26260.98,0,1,0,1,0,0,1,0,0
549,25,5,0,0,0,190857.79,0,1,0,1,0,0,1,0,0
635,35,7,0,1,1,65951.65,0,1,0,1,0,0,0,1,0
616,45,3,143129.41,0,1,64327.26,1,0,0,1,0,0,0,0,1
653,58,1,132602.88,1,0,5097.67,1,0,1,0,0,0,0,0,1
549,24,9,0,1,1,14406.41,0,1,0,1,0,0,0,1,0
587,45,6,0,0,0,158684.81,1,0,1,0,0,0,0,1,0
726,24,6,0,1,1,54724.03,0,1,0,1,0,0,1,0,0
732,41,8,0,1,1,170886.17,1,0,0,1,0,0,1,0,0
636,32,8,0,1,0,138555.46,0,1,0,1,0,0,0,1,0
510,38,4,0,1,0,118913.53,0,1,1,0,0,0,0,1,0
669,46,3,0,0,1,8487.75,1,0,0,1,0,0,1,0,0
846,38,5,0,1,1,187616.16,0,1,1,0,0,0,1,0,0
577,25,3,0,0,1,124508.29,1,0,0,1,0,0,1,0,0
756,36,2,136815.64,1,1,170041.95,1,0,1,0,0,0,0,0,1
571,44,9,0,0,0,38433.35,1,0,0,1,0,0,1,0,0
574,43,3,141349.43,1,1,100187.43,0,1,1,0,0,0,0,0,1
411,29,0,59697.17,1,1,53483.21,1,0,0,1,0,0,1,0,0
591,39,3,0,1,0,140469.38,0,1,0,0,1,0,0,1,0
533,36,7,85311.7,0,1,156731.91,1,0,1,0,0,0,1,0,0
553,41,9,110112.54,0,0,81898.81,1,0,0,1,0,0,0,0,1
520,42,6,0,1,1,34410.55,0,1,0,1,0,0,0,1,0
722,29,9,0,1,1,142033.07,0,1,0,1,0,0,0,1,0
475,45,0,134264.04,1,0,27822.99,0,1,1,0,0,0,1,0,0
490,31,3,145260.23,0,1,114066.77,1,0,1,0,0,0,0,1,0
